,title,author,publication,date,duration,claps,tags_cleaned
61,Your Guide to Shaming Idiot People Who Don't Take Covid-19 Seriously,drew magary,gen,1-Jul,7,11800,"drew-magary,culture,coronavirus,covid-19,health"
62,The Man Whose Surveillance Camera Sparked a National Uprising,bonsu thompson,level,29-Jun,9,8800,"race,justice,media,equality,racism"
63,"More People Are Getting Infected With Covid-19, but Fewer Ventilators Are Needed. Why?",elad simchayoff,elemental,30-Jun,5,1500,"coronavirus,health,ventilator,covid-19,virus"
64,How Bad is America's Coronavirus Explosion? Much Worse Than You Think.,umair haque,eudaimonia and co,27-Jun,7,7500,"life,news,leadership,culture,politics"
65,A 105 Year-Old Japanese Doctor's Guide to Living Longer,rajeet singh,mind cafe,22-Jun,4,11700,"life,life-lessons,mindfulness,retirement,psychology"
66,Kamala Harris's Very Open Secret,the atlantic,the atlantic,26-Jun,10,1800,"election-2020,2020-presidential-race,politics"
67,The Economic Season Is About to Drastically Change,tim denning,the ascent,26-Jun,5,9500,"society,money,life,economy,self-improvement"
68,The Dunning-Kruger Effect Explains Why Society Is So Screwed-Up,the happy neuron,dialogue & discourse,12-May,5,21000,"psychology,society,confidence,dunning-kruger,science"
69,Where Did My Ambition Go?,maris kreizman,gen,26-Jun,7,5900,"work,career,women,goals,success"
70,Trump's America is in Freefall,umair haque,eudaimonia and co,26-Jun,7,6400,"life,news,culture,politics,leadership"
71,"Even If You're Asymptomatic, the Coronavirus Can Do Damage",markham heid,elemental,25-Jun,4,5400,"the-nuance,health,coronavirus,covid-19,science"
72,The End of the Girlboss Is Here,leigh stein,gen,22-Jun,11,9600,"women,startups,leadership,business,culture"
73,Inside the Social Media Cult That Convinces Young People to Give Up Everything,emilie friedlander and joy crane,onezero,24-Jun,42,6000,"cult,culture,technology,social-media,facebook"
74,Why 2020 to 2050 Will Be 'the Most Transformative Decades in Human History',eric holthaus,onezero,25-Jun,7,4400,"climate-change,environment,inequality,book-excerpts,racial-justice"
75,Confessions of a Former Bastard Cop,officer a. cab,No Publication,7-Jun,21,90000,"police-brutality,abolition,police,police-reform,abolishthepolice"
76,Apple's Brilliant Plan to Dominate Without Intel Processors,owen williams,onezero,23-Jun,5,3600,"debugger,apple,gadgets,hardware,tech"
77,This $35 Keyboard for Children Transformed Me Into a Novelist,angela lashbrook,onezero,24-Jun,7,2000,"microprocessing,tech,keyboard,alphasmart,typing"
78,I Worked Out Every Day for 2 Months and This Is What Happened,auriane alix,the ascent,13-May,5,7700,"sports,fitness,wellbeing,journey,self-improvement"
79,How I Dealt With My White Husband's “Racism Fatigue”,michael sands,an injustice!,15-Jun,6,11400,"racism,relationships,blacklivesmatter,marriage,white-privilege"
80,How Whiteness Killed the Body Positive Movement,kelsey miller,elemental,22-Jun,10,2900,"body-positive,culture,racism,life,equality"
81,Why Some People Don't Feel Lonely,deanna pai,forge,19-Jun,3,9700,"live,connect,mental-health,psychology,quarantine"
82,A Quick Read for White People Who Don't Consider Themselves Racist,ola caracola,No Publication,5-Jun,7,20000,"racism,blacklivesmatter,black-out-tuesday,race,white-privilege"
83,Aunt Jemima: It was Never About the Pancakes,blackexcellence.com,No Publication,1-Feb-18,7,7400,"african-american,black-culture,foodies,black-women,black-men"
84,"Scientists Edited Human Embryos in the Lab, and It Was a Disaster",emily mullin,onezero,16-Jun,5,3200,"gene-editing,crispr,science,reengineering-life,dna"
85,How Elon Musk's Starlink Could Disrupt The Telecommunications Industry,derick david @jeazous,the startup,16-Jun,8,2400,"technology,business,innovation,startup,entrepreneurship"
86,Keeping Your Job and Your Sanity in the Time of Covid-19,julia locklear,zora,16-Jun,7,702,"the-workplace-whisperer,work,covid-19,health,boundaries"
87,"Indie.vc: Unicorns Are Out, Profits Are In",jennifer alsever,marker,15-Jun,9,1300,"indie-vc,unicorns,vc,venture-capital,investment"
88,A Deadly Mosquito-Borne Illness Is Brewing in the Northeast,oscar schwartz,onezero,10-Jun,19,6200,"environment,climate-change,health,science,disease"
89,Performative Allyship Is Deadly (Here's What to Do Instead),holiday phillips,forge,9-May,7,12100,"racism,race,justice,social-jusitce,social-change"
90,The Dark Side of Social Media Screening Technology,alex marcus,digital diplomacy,11-Jun,5,3200,"social-media,artificial-intelligence,social-media-screening,social-media-background,racism"
91,"30,000 Unsuspecting Rose Bowl Attendees Were Scooped Up in a Facial Recognition Test",dave gershgorn,onezero,11-Jun,3,761,"facial-recognition,artificial-intelligence,surveillance,privacy,biometrics"
92,Read This Before You Fly Anywhere,mariana lenharo,elemental,9-Jun,9,3100,"travel,coronavirus,covid-19,health,life"
93,Performative Activism Is the New 'Color-Blind' Band-Aid for White Fragility,"maia niguel hoskin, ph.d.",zora,10-Jun,5,3600,"social-media,blacklivesmatter,black-out-tuesday,racism,equality"
94,The 14-Year-Old African-American Who Was Tortured in an Electric Chair,andrei tapalaga ✒️,history of yesterday,6-Jun,6,5100,"history,blacklivesmatter,racism,culture,justice"
95,100 Things White People Can Do for Racial Justice,corinne shutack,equality includes you,14-Aug-17,23,35000,"blacklivesmatter,racial-justice,racial-equality,united-states,peace"
96,"Dear White Friends, I See Right Through Your #BlackLivesMatter Posts",elyse cizek,zora,30-May,12,23000,"race,culture,blacklivesmatter,women,racism"
97,The Movement For Black Lives Must Include Black Women,renee nishawn scott,zora,30-May,4,10200,"breonna-taylor,george-floyd,blacklivesmatter,women,racism"
98,3 White Privilege Blind Spots in Boston That Are Keeping Us Racist,julie devaney hogan,No Publication,4-Jun,9,2000,"blacklivesmatter,racism,boston,white-privilege,allyship"
99,COVID-19 Can Last for Several Months,the atlantic,the atlantic,4-Jun,15,3800,"coronavirus,health,science"
100,Could the Coronavirus Be Weakening as It Spreads?,markham heid,elemental,4-Jun,7,2200,"coronavirus,covid-19,virus,science,public-health"
101,How to Be a Good American,stephanie georgopulos,human parts,3-Jun,13,7300,"black-lives-matter,race,racism,equailty,justice"
102,Maintaining Professionalism In The Age of Black Death Is….A Lot,shenequa golding,No Publication,29-May,3,37000,"police-brutality,blacklivesmatter,workplace,professionalism"
103,5 Ways White People Can Take Action in Response to White and State-Sanctioned Violence,showing up for racial justice,No Publication,28-May,4,4300,"white-supremacy,anti-racism,george-floyd,ahmaudarbery,breonna-taylor"
104,How to Make this Moment the Turning Point for Real Change,barack obama,barack obama,1-Jun,4,240000,None
105,Violence Never Works? Really?,tim wise,No Publication,29-May,8,14600,"racism,justice,equality,politics,society"
106,How Covid-19 Really Spreads,robert roy britt,elemental,28-May,7,4400,"covid-19,coronavirus,airborne,science,health"
107,We are a nation furious at injustice.,joe biden,No Publication,31-May,2,7300,None
108,"No, The Universe Is Not Purely Mathematical In Nature",ethan siegel,starts with a bang!,27-May,7,2000,"mathematics,physics,universe,theory-of-everything,science"
109,Covid-19 Is Hitting the Middle Aged Harder Than We Think,andy slavitt,medium coronavirus blog,28-May,5,1600,"coronavirus,covid-19,health,science"
110,The Future of Movie Theaters Might Look a Lot Like an Apple Store,eric ravenscraft,onezero,20-May,7,2200,None
111,Masks Work.,alexandra sifferlin,medium coronavirus blog,28-May,3,1000,None
112,The Best Way to Develop Your Team Isn't Feedback,dave bailey,the founder coach,21-May,5,4600,"management,leadership,self-improvement,psychology,venture-capital"
113,Normal' Is the Last Thing We Should Wish For,rosie spinks,forge,27-May,8,4800,"politics,economy,capitalism,society"
114,Inside the Flour Company Supplying America's Sudden Baking Obsession,david h. freedman,marker,20-May,14,5000,"king-arthur-flour,baking,business,consumer"
115,Joe Biden's Latest “Gaffe” Has Left Me Almost Speechless.,lauren martinchek,dialogue & discourse,23-May,3,6700,"politics,government,election-2020,democrats,race"
116,The Unique Frustration of Being Black and in Charge,the only black guy,the office,26-May,4,1500,"black-guy-in-the-office,work,management,race,leadership"
117,How Your Brain Prevents You From Getting Sick,ashley abramson,elemental,25-May,5,1930,"brain,immune-system,health,neuroscience,science"
118,A Decision-Making Framework for Re-Entering the World,ashley abramson,forge,25-May,6,1500,"society,self,lifestyle,decisions,life"
119,"It's Not that I'm Negative, America Really is Screwed",umair haque,eudaimonia and co,22-May,11,13200,"life,news,politics,leadership,culture"
120,Brazil's Covid-19 Crisis Shows What Will Happen if the U.S. Relaxes All Social Distancing Standards,andy slavitt,medium coronavirus blog,22-May,4,10400,"covid-19,coronavirus,brazil,bolsonaro,trump"
121,Social Distancing Is Not Enough,the atlantic,the atlantic,22-May,11,2700,"coronavirus,health"
122,My Journey Toward Radical Body Positivity,matt mcgorry,human parts,22-May,35,49500,"fat-acceptance,matt-mcgorry,diet-culture,body-positivity,activism"
123,How to Write Anything,ross mccammon,forge,22-May,3,4400,"how-to-write-anything,writing,live,create,connect"
124,"Microsoft Finally Made a Perfect Laptop for Coding, Gaming, and Zooming",owen williams,onezero,21-May,6,3700,"surface-book-3,microsoft,laptop,review,debugger"
125,We Cannot Return to Campus This Fall,harley poston,the bold italic,19-May,24,3700,"education,politics,health,coronavirus,san-francisco"
126,Prepare for the Ultimate Gaslighting*,julio vincent gambuto,forge,10-Apr,9,179000,"crisis,coronavirus,economics,politics,economy"
127,"Every Covid-19 Symptom We Know About Right Now, From Head to Toe",robert roy britt,elemental,18-May,7,4500,"covid-19,coronavirus,symptoms,health,science"
128,"Every Type of Zoom Call Participant, Illustrated by Cats",jack shepherd,tenderly,18-May,4,17500,"remote-working,humor,work,life,pets"
129,The CEO of Airbnb Taught Us an Extraordinary Lesson When He Fired 25% of His Company,tim denning,mind cafe,10-May,10,22000,"startup,work,leadership,entrepreneurship,technology"
130,Stealing Secrets from Developers using Websockets,steve stagg,No Publication,21-May,6,1600,"security,javascript,websocket"
131,Desperate Nintendo Switch Owners Are Learning to Repair Their Own Busted Systems,maddie stone,onezero,20-May,6,621,"gaming,video-games,nintendo-switch,animal-crossing,tech"
132,I Believe in Stacey Abrams. I'm Disappointed in Stacey Abrams.,roxane gay,zora,15-May,6,6300,"politics,stacey-abrams,election-2020,democrats,biden"
133,You Will Destroy Yourself Financially If You Save,tim denning,mind cafe,14-May,6,43000,"money,investing,self-improvement,life-lessons,finance"
134,My Therapist Says Feelings Aren't Facts,ashley c. ford,elemental,11-May,7,3000,"my-therapist-says,feelings,emotions,brain,mental-health"
135,Here's Who's Dying From Covid-19 in the United States,robert roy britt,elemental,12-May,3,2700,"covid-19,coronavirus,death,health,science"
136,"Sincerely, Joe",joe biden,"sincerely, joe",15-May,5,679,None
137,"Sorry, Online Courses Won't Make you a Data Scientist",ramshankar yadhunath,towards data science,14-May,8,5100,"data-science,online-courses,project-based-learning,education,self-improvement"
138,What Americans Need to Understand About the Swedish Coronavirus Experiment,matthew zeitlin,gen,11-May,7,7100,"coronavirus,world,politics,health,covid-19"
139,"How Sunlight, the Immune System, and Covid-19 Interact",markham heid,elemental,13-May,10,6800,"immune-system,health,body,sun,coronavirus"
140,Inslee announces contact tracing initiative,wa governor's office,washington state governor's office,13-May,3,366,covid-19
141,Our Industry isn't coming back like yours is.,nicholas rivero,the startup,12-May,5,5500,"concerts,live,marketing,experience,events"
142,Coronavirus: Prevent Seeding and Spreading,tomas pueyo,No Publication,13-May,31,4000,"coronavirus,covid-19,health,politics,economics"
143,Jeff Bezos's Audacious Bet To Build the First “Vaccinated” Supply Chain,scott galloway,marker,11-May,5,2700,"apple,amazon,jeff-bezos,walmart,coronavirus"
144,The Office Is Dead,courtney rubin,marker,11-May,11,8600,"work,office-culture,workplace,business,real-estate"
145,I Just Flew. It Was Worse Than I Thought It Would Be.,mckay coppins,the atlantic,8-May,4,17200,"travel,health,coronavirus"
146,DOJ Alumni Statement on Flynn Case,doj alumni statement,No Publication,11-May,4,2300,"doj,flynn,attorney-general-barr,president-trump,politics"
147,Toxic Masculinity Is Going to Get Us All Killed,jessica valenti,gen,8-May,4,7500,"men,masculinity,coronavirus,society,jessica-valenti"
148,"If the Coronavirus Is Airborne, What Does It Mean for Us?",dana g smith,elemental,7-May,7,2500,"coronavirus,covid-19,health,public-health,body"
149,I Was That Girl,kc compton,an injustice!,27-Apr,23,6300,"metoo,resilience,men,recovery,mental-health"
150,This 3-Minute Exercise Will Change the Way You Solve Problems,niklas göke,forge,8-Apr,3,17800,"thinking,self-improvement,learning,psychology,succeed"
151,The Harsh Future of American Cities,steve levine,gen,4-May,14,7500,"culture,society,pandemic,cities,economics"
152,An Anti-Gay Crusader and Her Gay Son Were Making It Work. Then Came Trump.,aaron gell,gen,6-May,25,3900,"lgbtq,society,politics,family,social-justice"
153,Prepare For The Death & Rebirth of Hollywood,richard janes,the startup,1-May,19,2700,"hollywood,movies,covid-19,netflix,movie-theater"
154,Inslee signs new COVID-19 order for phased re-opening of Washington's economy,governor jay inslee,washington state governor's office,5-May,6,640,covid-19
155,Relaxing All Social Distancing Behaviors Now Is a Huge Mistake,andy slavitt,medium coronavirus blog,3-May,4,6500,"coronavirus,covid-19,social-distance,health,politics"
156,The Gaslighting of America Has Begun,julio vincent gambuto,forge,1-May,9,22000,"coronavirus,society,politics,culture,government"
157,Outgrowing Drake Is the Generation Gap We Didn't Predict,"david dennis, jr.",level,5-May,11,3600,"music,culture,celebrity,drake,adulthood"
158,A Male-Hosted Conference Will Teach Women How to Achieve True Femininity in 2020,gillian sisley,fearless she wrote,7-Jan,6,10000,"feminism,humor,equality,women,culture"
159,Laziness Does Not Exist,devon price,human parts,24-Mar-18,11,274000,"mental-health,productivity,psychology,life-lessons,life"
160,Theranos Would Be Thriving in the Covid-19 Pandemic,tyler shultz,elemental,2-May,11,2300,"theranos,covid-19,coronavirus,disease,business"
161,3 Habits of Super-Likeable People,thomas oppong,kaizen habits,30-Apr,5,10100,"relationships,self,lifestyle,psychology,personal-growth"
162,Georgia's Experiment in Human Sacrifice,the atlantic,the atlantic,30-Apr,11,5700,"georgia,politics,coronavirus"
163,Bye-bye Python. Hello Julia!,rhea moutafis,towards data science,2-May,8,12100,"towards-data-science,programming,programming-languages,python,data-science"
164,The Debate Over Screens and Health is More Contentious Than Ever,markham heid,elemental,1-May,15,558,"health,science,brain,parenting,technology"
165,Struggle With Self-Discipline? Try Forming These Habits,darius foroux,the blog of darius foroux,30-Apr,5,14800,"habits,life,self-improvement,personal-development,productivity"
166,The best Ghibli movies to watch with a 2-year-old,thomas smolders,ljosmyndun,1-May,3,1200,"studio-ghibli,disney,movies,parenting,film"
167,Statement by Vice President Joe Biden,joe biden,No Publication,1-May,5,4300,None
168,Coronavirus Made a Big Mistake Invading the Greatest Goddamn Country on Earth,drew magary,gen,28-Apr,5,12600,"politics,satire,coronavirus,america,drew-magary"
169,The Worst Rebrand in the History of Orange Juice,niklas göke,better marketing,22-Apr,7,11700,"marketing,business,rebranding,case-study,design"
170,This Is How The Gap Dies,rob walker,marker,29-Apr,14,2000,"the-gap,economy,business,pandemic,retail"
171,CEO of Surveillance Firm Banjo Once Helped KKK Leader Shoot Up a Synagogue,matt stroud,onezero,28-Apr,19,2900,None
172,Coronavirus: How to Do Testing and Contact Tracing,tomas pueyo,No Publication,28-Apr,39,5600,"coronavirus,health,healthcare,covid-19,politics"
173,The Three Most Likely Scenarios to Defeat the Coronavirus,andy slavitt,medium coronavirus blog,26-Apr,6,5600,"coronavirus,covid-19,covid-19-treatment,health"
174,How Do You Reopen a State That Never Closed?,lyz lenz,gen,28-Apr,8,2500,"politics,coronavirus,iowa,sheltering-in-place,covid-19"
175,Restoring the Economy Is the Last Thing We Should Want,douglas rushkoff,gen,27-Apr,9,11300,"economy,politics,coronavirus,quarantine,business"
176,A 10-Second Eye Exercise to Calm Your Mind,jud brewer md phd,elemental,29-Apr,5,7700,"one-day-at-a-time,psychology,mindfulness,life,anxiety"
177,Alexis Crawford's Untimely Death Exposes the Systems That Failed Her,clarissa brooks,zora,27-Apr,6,2000,"racism,equality,black-women,justice"
178,The Real Reason to Wear a Mask,the atlantic,the atlantic,23-Apr,7,7200,"health,coronavirus"
179,Why You're So Irritated by Everything,kelli maría korducki,forge,25-Apr,4,10700,"mental-health,psychology,self,irritation,anxiety"
180,Your Only Goal Is to Arrive,paul ollinger,forge,14-Apr,5,9700,"quarantine,productivity,wellness,health,mental-health"
181,"When This War Is Over, Many of Us Will Leave Medicine",michele harper,elemental,24-Apr,8,12400,"doctors,medicine,healthcare,life,coronavirus"
182,On living through a pandemic…,bob pritchett,No Publication,9-Apr,5,3600,"coronavirus,pandemic,perspective"
183,New Zealand's Prime Minister May Be the Most Effective Leader on the Planet,the atlantic,the atlantic,21-Apr,7,11800,"new-zealand,world"
184,Immunity Passports' Could Create a New Category of Privilege,emily mullin,onezero,23-Apr,7,1700,"coronavirus,covid-19,health,science-and-medicine,disease"
185,The Real Reason It's So Hard to Order Groceries Online Right Now,zara stone,marker,24-Apr,7,2900,"supermarkets,grocery-delivery,amazon-fresh,supply-chain,business"
186,"This Is How Much YouTube Paid Me for My 1,000,000 Viewed Video",shelby church,onezero,4-Apr,5,56000,"youtube,money,entrepreneurship,tech,influencers"
187,All the Things We Need to Ditch Once This Is Over,luvvie ajayi jones,zora,22-Apr,5,12600,"humor,culture,society,pandemic,lifestyle"
188,Why Some People Get Sicker Than Others,the atlantic,the atlantic,21-Apr,11,6200,"coronavirus,health"
189,Coronavirus: The Basic Dance Steps Everybody Can Follow,tomas pueyo,No Publication,23-Apr,18,5700,"coronavirus,health,healthcare,government,policy"
190,Meet the Tenants Who Refuse to Pay Rent,bryce covert,gen,20-Apr,10,3900,"pandemic,rent,cities,activism,equality"
191,Coronavirus: Learning How to Dance,tomas pueyo,No Publication,20-Apr,19,13900,"coronavirus,covid-19,health,government,public-policy"
192,Zoom Is a Nightmare. So Why Is Everyone Still Using It?,simon pitt,onezero,10-Apr,13,23000,"zoom,video-conferencing,digital-life,technology,remote-working"
193,A Therapist's Simple Rule Transformed My Marriage,jancee dunn,forge,17-Apr,4,17300,"therapy,relationships,respect,politeness,marriage"
194,A New Statistic Reveals Why America's COVID-19 Numbers Are Flat,the atlantic,the atlantic,17-Apr,10,9500,"coronavirus,healthcare"
195,Zoom Burnout Is Real,angela lashbrook,onezero,14-Apr,8,828,"digital-life,work,remote-work,burnout,microprocessing"
196,We Live in the Blue Ruin,felicia c. sullivan,human parts,2-Apr-17,16,1300,"fiction,dystopia,internet,technology,culture"
197,A Tiny Hospital in Texas Might Help Solve the Mask Shortage,roxanne khamsi,elemental,16-Apr,6,3300,"masks,health"
198,America Is About to Witness the Biggest Labor Movement It's Seen in Decades,steve levine,marker,15-Apr,14,6300,"labor,coronavirus,workers-rights,society,business"
199,An Indiana City Loses a Beloved Football Coach,katie couric,wake-up call,16-Apr,3,1200,"coronavirus,health,obituary,culture,family"
200,A twenty-year professor on starting college this fall: Don't.,diane klein,age of awareness,13-Apr,5,5100,"covid-19,education,higher-education,high-school,college"
201,Look for Elon Musk to Unveil a Futuristic New Battery That Will Shake the Electric Car Market,steve levine,marker,15-Apr,5,2500,"elon-musk,tesla,cobalt,battery,automotive"
202,Meta-Analyses Reveal Who Should Be More Cautious of COVID-19,shin jie yong,microbial instincts,13-Apr,5,8000,"health,advice,education,technology,life"
203,From Infection to Recovery: How Long It Lasts,robert roy britt,elemental,13-Apr,5,5500,"coronavirus,covid-19,health,science,body"
204,What's happened to the data science job market in the past month,edouard harris,towards data science,13-Apr,5,3800,"data-science,hiring,coronavirus,job-hunting,machine-learning"
205,7 Predictions for a Post-Coronavirus World,emma rose bienvenu,marker,14-Apr,6,20000,"coronavirus,society,telemedicine,remote-working,automation"
